ts,nav,cash_nav,unrealized
1767686400,103639.89571999,103545.62092943,94.27479055
1767687300,103690.19416078,103545.62092943,144.57323135
1767688200,103741.68164055,103545.62092943,196.06071111
1767689100,103794.2877658,103545.62092943,248.66683637
1767690000,103847.86545215,103545.62092943,302.24452271
1767690900,103780.83026868,103780.83026868,0.0
1767691800,103773.82633465,103776.16020137,-2.33386672
1767692700,103724.85811566,103724.85811566,0.0
1767693600,103717.85795906,103720.19056706,-2.332608
1767694500,103768.70430969,103720.19056706,48.51374263
1767695400,103819.64221194,103720.19056706,99.45164489
1767696300,103870.5773754,103720.19056706,150.38680835
1767697200,103921.33523848,103720.19056706,201.14467142
1767698100,103971.79533024,103720.19056706,251.60476319
1767699000,104021.79976875,103720.19056706,301.6092017
1767699900,103949.59496582,103949.59496582,0.0
1767700800,103942.57964224,103944.91730421,-2.33766197
1767701700,103886.34899977,103886.34899977,0.0
1767702600,103879.33794452,103881.67418419,-2.33623967
1767703500,103920.95409665,103881.67418419,39.27991246
1767704400,103961.57777321,103881.67418419,79.90358902
1767705300,104001.14204071,103881.67418419,119.46785652
1767706200,104039.59057648,103881.67418419,157.91639229
1767707100,104076.91351567,103881.67418419,195.23933148
1767708000,104113.0736933,103881.67418419,231.39950911
1767708900,104027.98743212,104027.98743212,0.0
1767709800,104020.96681801,104023.3062429,-2.3394249
1767710700,103951.24840616,103951.24840616,0.0
1767711600,103944.23297099,103946.57067014,-2.33769916
1767712500,103972.67664664,103946.57067014,26.1059765
1767713400,104000.25015648,103946.57067014,53.67948633
1767714300,104027.04573045,103946.57067014,80.47506031
1767715200,104053.15212982,103946.57067014,106.58145968
1767716100,104078.68885218,103946.57067014,132.11818203
1767717000,104103.75910464,103946.57067014,157.1884345
1767717900,104010.15646075,104010.15646075,0.0
1767718800,104003.13705001,104005.47607391,-2.33902391
1767719700,103926.10183633,103926.10183633,0.0
1767720600,103919.08809825,103921.4252319,-2.33713365
1767721500,103942.55846615,103921.4252319,21.13323425
1767722400,103966.40090413,103921.4252319,44.97567223
1767723300,103990.73442618,103921.4252319,69.30919428
1767724200,104015.71293745,103921.4252319,94.28770555
1767725100,104041.47800433,103921.4252319,120.05277243
1767726000,104068.15648301,103921.4252319,146.73125112
1767726900,103977.83970337,103977.83970337,0.0
1767727800,103970.82247362,103973.16077077,-2.33829715
1767728700,103899.32033308,103899.32033308,0.0
1767729600,103892.30840242,103894.6449338,-2.33653138
1767730500,103923.61429699,103894.6449338,28.96936319
1767731400,103956.42491514,103894.6449338,61.77998134
1767732300,103990.82790205,103894.6449338,96.18296825
1767733200,104026.87898721,103894.6449338,132.23405341
1767734100,104064.63743972,103894.6449338,169.99250592
1767735000,104104.15641057,103894.6449338,209.51147677
1767735900,104025.86267791,104025.86267791,0.0
1767736800,104018.8422072,104021.18158431,-2.33937711
1767737700,103960.59038617,103960.59038617,0.0
1767738600,103953.57432053,103955.91222978,-2.33790924
1767739500,103998.32753935,103955.91222978,42.41530958
1767740400,104044.68136994,103955.91222978,88.76914017
1767741300,104092.58115831,103955.91222978,136.66892853
1767742200,104141.96348912,103955.91222978,186.05125935
1767743100,104192.75531146,103955.91222978,236.84308168
1767744000,104244.87600384,103955.91222978,288.96377406
1767744900,104176.62038208,104176.62038208,0.0
1767745800,104169.58973706,104171.93250448,-2.34276742
1767746700,104120.12779404,104120.12779404,0.0
1767747600,104113.10096158,104115.44245857,-2.34149699
1767748500,104164.61282174,104115.44245857,49.17036317
1767749400,104216.64581617,104115.44245857,101.2033576
1767750300,104269.06472337,104115.44245857,153.62226479
1767751200,104321.73067771,104115.44245857,206.28821914
1767752100,104374.48318818,104115.44245857,259.04072961
1767753000,104427.19178074,104115.44245857,311.74932217
1767753900,104357.37224406,104357.37224406,0.0
1767754800,104350.32940051,104352.67623275,-2.34683224
1767755700,104297.04420254,104297.04420254,0.0
1767756600,104290.0054304,104292.35090595,-2.34547556
1767757500,104335.36156781,104292.35090595,43.01066185
1767758400,104379.9458179,104292.35090595,87.59491195
1767759300,104423.6522549,104292.35090595,131.30134895
1767760200,104466.38248302,104292.35090595,174.03157707
1767761100,104508.08694823,104292.35090595,215.73604227
1767762000,104548.68446181,104292.35090595,256.33355586
1767762900,104466.99173176,104466.99173176,0.0
1767763800,104459.94149024,104462.29078765,-2.34929741
1767764700,104393.67085922,104393.67085922,0.0
1767765600,104386.62556596,104388.97321449,-2.34764854
1767766500,104418.58123601,104388.97321449,29.60802151
1767767400,104449.4763333,104388.97321449,60.50311881
1767768300,104479.37095824,104388.97321449,90.39774375
1767769200,104508.31444807,104388.97321449,119.34123358
1767770100,104536.38599588,104388.97321449,147.41278138
1767771000,104563.67293445,104388.97321449,174.69971995
1767771900,104471.03347583,104471.03347583,0.0
1767772800,104463.98296154,104466.33234984,-2.3493883
1767773700,104387.46801511,104387.46801511,0.0
1767774600,104380.42314046,104382.77064951,-2.34750905
1767775500,104404.08076738,104382.77064951,21.31011787
1767776400,104427.69454904,104382.77064951,44.92389954
1767777300,104451.42442005,104382.77064951,68.65377055
1767778200,104475.38445456,104382.77064951,92.61380505
1767779100,104499.74769113,104382.77064951,116.97704162
1767780000,104524.63916015,104382.77064951,141.86851064
1767780900,104431.78449847,104431.78449847,0.0
1767781800,104424.736633,104427.08513866,-2.34850565
1767782700,104350.11711686,104350.11711686,0.0
1767783600,104343.07476295,104345.42143203,-2.34666908
1767784500,104371.21243798,104345.42143203,25.79100595
1767785400,104400.60962896,104345.42143203,55.18819693
1767786300,104431.39310677,104345.42143203,85.97167474
1767787200,104463.64619577,104345.42143203,118.22476374
1767788100,104497.44620085,104345.42143203,152.02476882
1767789000,104532.89080364,104345.42143203,187.46937161
1767789900,104450.5079214,104450.5079214,0.0
1767790800,104443.45879233,104445.80771905,-2.34892671
1767791700,104381.08686586,104381.08686586,0.0
1767792600,104374.04242186,104376.38978741,-2.34736554
1767793500,104415.33614361,104376.38978741,38.9463562
1767794400,104458.33780989,104376.38978741,81.94802248
1767795300,104503.03912924,104376.38978741,126.64934183
1767796200,104549.41431086,104376.38978741,173.02452345
1767797100,104597.42837499,104376.38978741,221.03858758
1767798000,104647.01892389,104376.38978741,270.62913648
1767798900,104576.52085935,104576.52085935,0.0
1767799800,104569.46322595,104571.8149865,-2.35176054
1767800700,104518.39853815,104518.39853815,0.0
1767801600,104511.3448273,104513.69528077,-2.35045347
1767802500,104562.41524791,104513.69528077,48.71996714
1767803400,104614.39520859,104513.69528077,100.69992782
1767804300,104667.16791015,104513.69528077,153.47262938
1767805200,104720.58543922,104513.69528077,206.89015845
1767806100,104774.5298783,104513.69528077,260.83459753
1767807000,104828.84429598,104513.69528077,315.14901521
1767807900,104760.53380591,104760.53380591,0.0
1767808800,104753.4637539,104755.8196526,-2.3558987
1767809700,104702.34840239,104702.34840239,0.0
1767810600,104695.28227718,104697.63686738,-2.35459021
1767811500,104743.77903742,104697.63686738,46.14217004
1767812400,104791.81698517,104697.63686738,94.18011779
1767813300,104839.25577898,104697.63686738,141.61891159
1767814200,104885.97610031,104697.63686738,188.33923293
1767815100,104931.88108632,104697.63686738,234.24421894
1767816000,104976.85542253,104697.63686738,279.21855515
1767816900,104898.6584996,104898.6584996,0.0
1767817800,104891.57912586,104893.93813077,-2.35900491
1767818700,104829.01200729,104829.01200729,0.0
1767819600,104821.93733383,104824.29477251,-2.35743867
1767820500,104857.87541384,104824.29477251,33.58064134
1767821400,104892.67521714,104824.29477251,68.38044464
1767822300,104926.35514937,104824.29477251,102.06037686
1767823200,104958.9273962,104824.29477251,134.63262369
1767824100,104990.42964648,104824.29477251,166.13487398
1767825000,105020.9110025,104824.29477251,196.61623
1767825900,104930.16129787,104930.16129787,0.0
1767826800,104923.07979808,104925.43951144,-2.35971336
1767827700,104848.1526298,104848.1526298,0.0
1767828600,104841.07666459,104843.4345337,-2.35786911
1767829500,104866.03468183,104843.4345337,22.60014812
1767830400,104890.56619962,104843.4345337,47.13166591
1767831300,104914.82318338,104843.4345337,71.38864968
1767832200,104938.91728093,104843.4345337,95.48274723
1767833100,104963.00168624,104843.4345337,119.56715254
1767834000,104987.20964307,104843.4345337,143.77510937
1767834900,104892.71219578,104892.71219578,0.0
1767835800,104885.63322335,104887.99209454,-2.35887119
1767836700,104808.7821768,104808.7821768,0.0
1767837600,104801.70886861,104804.06585235,-2.35698373
1767838500,104827.40802064,104804.06585235,23.34216829
1767839400,104854.05311879,104804.06585235,49.98726644
1767840300,104881.7817085,104804.06585235,77.71585615
1767841200,104910.70431174,104804.06585235,106.63845939
1767842100,104940.94150038,104804.06585235,136.87564803
1767843000,104972.59456636,104804.06585235,168.52871401
1767843900,104886.20620485,104886.20620485,0.0
1767844800,104879.12767149,104881.48639637,-2.35872488
1767845700,104812.50892796,104812.50892796,0.0
1767846600,104805.43536826,104807.79243581,-2.35706754
1767847500,104842.93716085,104807.79243581,35.14472504
1767848400,104882.15551848,104807.79243581,74.36308268
1767849300,104923.12873694,104807.79243581,115.33630114
1767850200,104965.85797084,104807.79243581,158.06553503
1767851100,105010.34978965,104807.79243581,202.55735384
1767852000,105056.57916084,104807.79243581,248.78672503
1767852900,104982.97476023,104982.97476023,0.0
1767853800,104975.88969618,104978.25059723,-2.36090105
1767854700,104922.22877147,104922.22877147,0.0
1767855600,104915.14780703,104917.507342,-2.35953497
1767856500,104964.70156564,104917.507342,47.19422365
1767857400,105015.49769787,104917.507342,97.99035587
1767858300,105067.44973192,104917.507342,149.94238992
1767859200,105120.44287136,104917.507342,202.93552937
1767860100,105174.35514538,104917.507342,256.84780338
1767861000,105229.05944747,104917.507342,311.55210548
1767861900,105161.21187314,105161.21187314,0.0
1767862800,105154.11478027,105156.47968959,-2.36490932
1767863700,105104.19618345,105104.19618345,0.0
1767864600,105097.10293844,105099.46656557,-2.36362713
1767865500,105147.90379781,105099.46656557,48.43723223
1767866400,105198.60831478,105099.46656557,99.14174921
1767867300,105249.07739799,105099.46656557,149.61083241
1767868200,105299.17355562,105099.46656557,199.70699005
1767869100,105348.76178843,105099.46656557,249.29522286
1767870000,105397.71105438,105099.46656557,298.24448881
1767870900,105322.82652712,105322.82652712,0.0
1767871800,105315.71852724,105318.08707102,-2.36854378
1767872700,105256.8076254,105256.8076254,0.0
1767873600,105249.70408098,105252.0711401,-2.36705912
1767874500,105289.79206773,105252.0711401,37.72092763
1767875400,105328.7952234,105252.0711401,76.7240833
1767876300,105366.67966019,105252.0711401,114.60852009
1767877200,105403.40436935,105252.0711401,151.33322925
1767878100,105438.97434259,105252.0711401,186.90320249
1767879000,105473.38774839,105252.0711401,221.31660829
1767879900,105385.32730739,105385.32730739,0.0
1767880800,105378.21508947,105380.5850388,-2.36994932
1767881700,105305.7988331,105305.7988331,0.0
1767882600,105298.69198238,105301.06014323,-2.36816085
1767883500,105325.96590185,105301.06014323,24.90575861
