symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
ETHUSDT,1777453200,1777458600,2327.177944,2339.637898,0.06400309,0.79747553,0.14934531,0.64813022,signal
SOLUSDT,1777452300,1777458600,84.495341,85.104461,1.76279177,1.07375172,0.14948457,0.92426716,signal
ETHUSDT,1777463100,1777464000,2337.20095,2329.301,0.06373918,-0.50353635,0.14871951,-0.65225586,signal
BTCUSDT,1777464000,1777464900,77663.292,77267.71273,0.00191815,-0.75878199,0.14859077,-0.90737276,signal
BTCUSDT,1777465800,1777466700,77323.19,77168.44252,0.0019263,-0.29809052,0.14879884,-0.44688935,signal
BTCUSDT,1777470300,1777471200,77648.08744,77164.94357,0.00191816,-0.92674553,0.14847781,-1.07522334,signal
ETHUSDT,1777470300,1777472100,2306.151638,2306.827744,0.06458381,0.0436655,0.1489619,-0.10529639,signal
BTCUSDT,1777473000,1777473900,77503.244,77164.8436,0.00192151,-0.65024069,0.14859835,-0.79883904,signal
ETHUSDT,1777473900,1777475700,2303.140735,2313.625704,0.06465584,0.67791444,0.14925045,0.52866399,signal
ETHUSDT,1777478400,1777479300,2319.745715,2280.275712,0.06419596,-2.53381473,0.1476514,-2.68146612,signal
SOLUSDT,1777477500,1777479300,83.194951,83.07507,1.7900055,-0.21458765,0.14881213,-0.36339977,signal
SOLUSDT,1777480200,1777481100,83.154939,82.985097,1.79031755,-0.30407111,0.14872171,-0.45279282,signal
ETHUSDT,1777484700,1777485600,2278.123232,2239.467958,0.06534631,-2.52597965,0.14760396,-2.67358361,signal
BTCUSDT,1777487400,1777490100,75249.26801,75457.25603,0.00197778,0.41135552,0.14903253,0.262323,signal
ETHUSDT,1777489200,1777490100,2237.491046,2233.119863,0.06651406,-0.29074514,0.14867925,-0.43942438,signal
SOLUSDT,1777487400,1777491000,81.854549,81.995394,1.81817305,0.25608058,0.14895378,0.10712681,signal
BTCUSDT,1777496400,1777499100,75780.7274,75879.72925,0.00196389,0.19442832,0.1489219,0.04550642,signal
SOLUSDT,1777495500,1777499100,82.644786,82.835142,1.80078876,0.34279094,0.1489972,0.19379375,signal
ETHUSDT,1777503600,1777504500,2259.237568,2251.314403,0.06587594,-0.52194592,0.14856842,-0.67051433,signal
SOLUSDT,1777503600,1777504500,83.074915,82.945109,1.79149476,-0.23254677,0.148712,-0.38125877,signal
BTCUSDT,1777508100,1777510800,75780.42731,76188.63655,0.00196375,0.80161982,0.14921442,0.65240539,signal
ETHUSDT,1777508100,1777510800,2253.205759,2266.609813,0.06604479,0.88526791,0.14925513,0.73601278,signal
SOLUSDT,1777508100,1777511700,83.254969,83.844839,1.78741742,1.05434391,0.14933855,0.90500536,signal
BTCUSDT,1777512600,1777513500,76325.8909,76240.22107,0.00195016,-0.16707023,0.14876448,-0.31583471,signal
SOLUSDT,1777517100,1777518000,82.974885,82.905121,1.79382185,-0.12514419,0.14877959,-0.27392378,signal
ETHUSDT,1777517100,1777521600,2244.853254,2248.185342,0.06630424,0.22093155,0.14895374,0.0719778,signal
SOLUSDT,1777530600,1777536000,82.864852,83.235022,1.79618071,0.66489221,0.1491727,0.51571952,signal
ETHUSDT,1777532400,1777536900,2249.114532,2256.002996,0.06617677,0.45585629,0.14906706,0.30678923,signal
ETHUSDT,1777540500,1777541400,2262.6786,2261.181442,0.06578601,-0.09849204,0.14880334,-0.24729538,signal
SOLUSDT,1777546800,1777547700,83.274975,83.205031,1.78743827,-0.12502058,0.14878637,-0.27380695,signal
SOLUSDT,1777549500,1777552200,83.004894,83.145049,1.79320475,0.25132661,0.14897043,0.10235618,signal
ETHUSDT,1777555800,1777556700,2264.819242,2261.731277,0.06572105,-0.20294431,0.14874483,-0.35168914,signal
SOLUSDT,1777555800,1777556700,83.465032,83.135052,1.78332393,-0.58846123,0.14855096,-0.73701219,signal
BTCUSDT,1777561200,1777563000,76386.60911,76389.67622,0.00194835,0.0059758,0.14883073,-0.14285493,signal
ETHUSDT,1777559400,1777563000,2258.487343,2262.431067,0.06589808,0.25988383,0.14895992,0.11092391,signal
SOLUSDT,1777559400,1777563000,83.104924,83.245019,1.79085488,0.25088981,0.1489543,0.10193551,signal
ETHUSDT,1777563900,1777564800,2266.169647,2263.480752,0.06567515,-0.17659357,0.14874273,-0.3253363,signal
SOLUSDT,1777563900,1777564800,83.375005,83.295004,1.78506626,-0.14280709,0.14875851,-0.29156559,signal
SOLUSDT,1777570200,1777572900,82.964882,82.995094,1.79379236,0.05419405,0.14884887,-0.09465481,signal
BTCUSDT,1777573800,1777574700,76366.00293,76286.20727,0.00194878,-0.15550399,0.1487426,-0.30424659,signal
ETHUSDT,1777573800,1777574700,2261.328195,2258.202336,0.06581054,-0.20571448,0.14871638,-0.35443085,signal
SOLUSDT,1777575600,1777576500,83.204954,83.095064,1.7884809,-0.19653617,0.1487122,-0.34524837,signal
SOLUSDT,1777579200,1777581900,83.084918,83.025085,1.79100246,-0.10716105,0.14875171,-0.25591276,signal
SOLUSDT,1777582800,1777583700,83.12493,82.895124,1.79009419,-0.41137438,0.14859577,-0.55997015,signal
SOLUSDT,1777590900,1777596300,82.934873,83.105061,1.79409516,0.30533347,0.14894572,0.15638775,signal
SOLUSDT,1777599000,1777601700,83.465032,83.47495,1.78272741,0.01768109,0.14880424,-0.13112315,signal
BTCUSDT,1777604400,1777606200,76674.89557,77031.48362,0.00194058,0.69198608,0.14913943,0.54284665,signal
ETHUSDT,1777607100,1777608900,2282.374507,2278.476252,0.06519595,-0.25415044,0.1486745,-0.40282494,signal
SOLUSDT,1777618800,1777619700,83.895161,83.624905,1.77358899,-0.47932307,0.14855587,-0.62787894,signal
ETHUSDT,1777636800,1777639500,2289.266574,2299.919817,0.06499292,0.69238535,0.14913231,0.54325304,signal
SOLUSDT,1777644000,1777644900,84.615377,84.07477,1.75847783,-0.95064542,0.14831894,-1.09896436,signal
BTCUSDT,1777647600,1777650300,78376.30584,78349.58807,0.00189824,-0.05071661,0.14875131,-0.19946792,signal
ETHUSDT,1777647600,1777650300,2308.052208,2302.559025,0.06445935,-0.35408701,0.1485985,-0.50268552,signal
SOLUSDT,1777645800,1777650300,84.195251,84.154746,1.76705667,-0.07157463,0.14874199,-0.22031662,signal
SOLUSDT,1777651200,1777653000,84.255269,84.17474,1.76563371,-0.14218472,0.14869285,-0.29087757,signal
SOLUSDT,1777654800,1777655700,84.145236,83.914818,1.76789069,-0.40735384,0.1485559,-0.55590974,signal
ETHUSDT,1777662900,1777663800,2306.971884,2302.818947,0.064479,-0.26777723,0.14861735,-0.41639458,signal
SOLUSDT,1777670100,1777672800,83.585068,83.624905,1.7795642,0.0708925,0.14878044,-0.07788794,signal
SOLUSDT,1777675500,1777678200,83.72511,83.684887,1.77657368,-0.07145912,0.1487081,-0.22016722,signal
SOLUSDT,1777681800,1777684500,83.72511,83.77486,1.77653423,0.08838258,0.14878472,-0.06040214,signal
ETHUSDT,1777767300,1777768200,2315.49444,2312.056175,0.06423666,-0.22086264,0.14862919,-0.36949183,signal
SOLUSDT,1777767300,1777768200,84.105224,84.024785,1.76848114,-0.14225485,0.14866738,-0.29092223,signal
ETHUSDT,1777769100,1777770000,2313.723909,2307.247618,0.06428153,-0.41630589,0.14852156,-0.56482745,signal
SOLUSDT,1777770900,1777771800,83.985188,83.704881,1.7708032,-0.49636853,0.14847306,-0.64484159,signal
SOLUSDT,1777799700,1777802400,83.975185,83.914818,1.77089895,-0.10690386,0.14865812,-0.25556197,signal
SOLUSDT,1777816800,1777820400,84.22526,84.224725,1.76559542,-0.00094459,0.14870726,-0.14965185,signal
ETHUSDT,1777824900,1777826700,2327.29798,2326.561822,0.0638962,-0.0470377,0.14868197,-0.19571967,signal
ETHUSDT,1777827600,1777830300,2327.988187,2329.740868,0.06387599,0.11195424,0.14875853,-0.03680429,signal
SOLUSDT,1777827600,1777830300,84.165242,84.134752,1.76677966,-0.05386911,0.1486745,-0.20254361,signal
ETHUSDT,1777842000,1777842900,2332.569561,2328.441258,0.06374899,-0.26317516,0.14856738,-0.41174254,signal
BTCUSDT,1777844700,1777846500,78818.13835,78958.60531,0.00188653,0.26499514,0.14882528,0.11616986,signal
ETHUSDT,1777847400,1777848300,2343.482834,2340.847535,0.06345023,-0.16721033,0.14861092,-0.31582126,signal
SOLUSDT,1777847400,1777848300,84.72541,84.614608,1.75500377,-0.19445793,0.14859618,-0.34305411,signal
ETHUSDT,1777857300,1777862700,2317.575064,2378.166336,0.06415527,3.88724921,0.15062827,3.73662094,signal
BTCUSDT,1777862700,1777864500,80191.35019,80039.48095,0.00185411,-0.28158218,0.14854274,-0.43012492,signal
ETHUSDT,1777863600,1777864500,2382.524543,2378.756159,0.0624294,-0.23525796,0.14862195,-0.38387991,signal
SOLUSDT,1777863600,1777864500,85.545656,85.244419,1.73870272,-0.52376159,0.14847658,-0.67223817,signal
SOLUSDT,1777869000,1777869900,85.82574,85.714278,1.73279487,-0.19314078,0.14862183,-0.34176261,signal
ETHUSDT,1777872600,1777873500,2379.943769,2374.617401,0.06248605,-0.33282367,0.14854686,-0.48137054,signal
BTCUSDT,1777881600,1777882500,79852.34852,79661.59435,0.00186226,-0.35523439,0.14852844,-0.50376282,signal
ETHUSDT,1777881600,1777882500,2363.338789,2358.772156,0.06292155,-0.28733963,0.14856127,-0.4359009,signal
BTCUSDT,1777890600,1777891500,78914.56727,78841.64041,0.00188421,-0.13740984,0.14862325,-0.28603309,signal
SOLUSDT,1777890600,1777891500,84.045206,83.964803,1.76917699,-0.14224714,0.14861972,-0.29086686,signal
ETHUSDT,1777897800,1777898700,2340.852045,2335.569119,0.06351675,-0.33555427,0.14851553,-0.4840698,signal
SOLUSDT,1777899600,1777902300,83.995191,83.934812,1.77005425,-0.10687411,0.14862261,-0.25549671,signal
